time,weather_code (wmo code),temperature_2m_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2025-09-05,53,26.7,41645.74,33.8,22.1,1.00,3.0,11.4,189,21.29
2025-09-06,53,26.3,42499.97,31.4,23.1,2.00,7.0,17.6,178,21.48
2025-09-07,51,26.3,42490.15,31.5,22.0,0.60,3.0,11.5,173,22.38
2025-09-08,51,26.9,42350.68,33.2,21.6,0.10,1.0,10.9,158,22.75
2025-09-09,65,25.9,32612.63,31.0,22.6,16.70,4.0,12.4,181,17.55
2025-09-10,65,26.0,36198.10,32.9,22.6,24.40,9.0,11.2,147,21.47
2025-09-11,63,24.9,17554.27,28.1,22.5,7.70,12.0,8.3,202,10.84
2025-09-12,53,25.7,38300.65,30.4,22.6,2.40,9.0,16.2,169,19.82
2025-09-13,3,26.3,42425.47,32.5,21.9,0.00,0.0,12.1,175,22.16
2025-09-14,63,26.7,39816.74,31.9,22.0,8.30,4.0,10.4,174,21.07
2025-09-15,53,27.3,39912.07,32.9,22.7,1.20,4.0,11.3,171,22.64
2025-09-16,61,26.5,33792.10,33.7,22.5,4.00,6.0,10.4,171,20.67
2025-09-17,63,25.1,25200.00,31.5,22.6,27.10,12.0,10.4,148,15.79
2025-09-18,53,25.1,17855.95,28.3,22.0,1.60,6.0,8.3,105,13.12
2025-09-19,53,25.6,35609.19,29.5,22.5,2.10,9.0,10.4,125,16.09
2025-09-20,53,25.5,33988.65,30.5,22.5,2.50,5.0,17.9,70,16.75
2025-09-21,3,26.3,42166.26,31.5,21.7,0.00,0.0,10.4,114,24.12
2025-09-22,53,26.6,41244.94,32.5,21.2,1.20,3.0,7.3,137,23.80
2025-09-23,53,26.5,40734.70,32.0,22.9,1.30,5.0,17.9,189,22.26
2025-09-24,51,27.1,41694.73,33.2,22.2,0.10,1.0,11.1,178,22.97
2025-09-25,61,26.2,39638.51,32.2,21.8,4.00,7.0,9.7,126,22.26
2025-09-26,61,27.2,41263.51,33.1,22.2,5.10,6.0,12.5,177,22.42
2025-09-27,63,26.6,34093.23,33.5,22.9,11.90,6.0,12.3,107,20.58
2025-09-28,55,26.6,38569.20,32.8,22.6,2.50,7.0,18.5,132,21.45
2025-09-29,63,25.6,32159.75,31.0,22.8,14.30,8.0,14.1,196,17.34
2025-09-30,63,26.0,35260.74,31.5,22.8,7.30,10.0,10.0,67,20.38
2025-10-01,61,25.6,32938.37,31.3,22.8,5.00,6.0,14.7,81,20.87
